label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
a bowl of gamjatang,3,3,272,174,감자탕1.jpeg,275,183
a bowl of gamjatang,34,13,220,160,감자탕10.jpeg,276,183
a bowl of gamjatang,32,76,167,115,감자탕11.jpeg,225,225
a bowl of gamjatang,21,39,240,145,감자탕12.jpeg,268,188
a bowl of gamjatang,8,50,192,178,감자탕13.jpeg,200,252
a bowl of gamjatang,12,35,198,164,감자탕14.jpeg,224,224
a bowl of gamjatang,16,9,272,147,감자탕15.jpeg,296,170
a bowl of gamjatang,13,0,239,172,감자탕16.jpeg,275,183
a bowl of gamjatang,36,5,221,164,감자탕17.jpeg,276,183
a bowl of gamjatang,6,47,210,168,감자탕18.jpeg,225,225
a bowl of gamjatang,43,20,194,170,감자탕19.jpeg,266,190
a bowl of gamjatang,3,17,219,192,감자탕2.jpeg,225,225
a bowl of gamjatang,3,58,297,107,감자탕20.jpeg,300,168
a bowl of gamjatang,9,15,278,147,감자탕21.jpeg,300,168
a bowl of gamjatang,0,61,218,151,감자탕22.jpeg,225,225
a bowl of gamjatang,86,52,151,106,감자탕23.jpeg,266,189
a bowl of gamjatang,17,148,175,85,감자탕24.jpeg,213,237
a bowl of gamjatang,2,5,223,220,감자탕26.jpeg,225,225
a bowl of gamjatang,0,3,222,218,감자탕28.jpeg,225,225
a bowl of gamjatang,5,5,267,156,감자탕29.jpeg,300,168
a bowl of gamjatang,0,3,250,177,감자탕3.jpeg,259,194
a bowl of gamjatang,0,1,221,169,감자탕30.jpeg,297,170
a bowl of gamjatang,35,117,150,99,감자탕31.jpeg,185,272
a bowl of gamjatang,0,1,229,182,감자탕32.jpeg,275,183
a bowl of gamjatang,2,8,256,168,감자탕33.jpeg,265,190
a bowl of gamjatang,62,16,157,165,감자탕34.jpeg,225,225
a bowl of gamjatang,26,24,262,128,감자탕35.jpeg,300,168
a bowl of gamjatang,5,23,215,181,감자탕36.jpeg,225,224
a bowl of gamjatang,18,8,212,175,감자탕37.jpeg,275,183
a bowl of gamjatang,15,16,215,147,감자탕38.jpeg,259,194
a bowl of gamjatang,0,4,222,197,감자탕4.jpeg,225,225
a bowl of gamjatang,0,58,182,145,감자탕40.jpeg,205,246
a bowl of gamjatang,24,54,207,137,감자탕41.jpeg,251,201
a bowl of gamjatang,16,3,256,168,감자탕42.jpeg,275,183
a bowl of gamjatang,16,40,195,133,감자탕43.jpeg,233,216
a bowl of gamjatang,0,0,291,166,감자탕45.jpeg,300,168
a bowl of gamjatang,11,7,218,166,감자탕47.jpeg,259,194
a bowl of gamjatang,35,23,227,169,감자탕48.jpeg,262,192
a bowl of gamjatang,31,19,208,135,감자탕49.jpeg,259,194
a bowl of gamjatang,3,3,221,218,감자탕5.jpeg,224,224
a bowl of gamjatang,14,28,262,151,감자탕50.jpeg,276,182
a bowl of gamjatang,10,8,249,186,감자탕51.jpeg,259,194
a bowl of gamjatang,12,9,258,149,감자탕52.jpeg,300,168
a bowl of gamjatang,21,25,168,149,감자탕53.jpeg,283,178
a bowl of gamjatang,27,4,232,190,감자탕55.jpeg,259,194
a bowl of gamjatang,14,23,211,202,감자탕57.jpeg,225,225
a bowl of gamjatang,31,34,197,139,감자탕58.jpeg,259,194
a bowl of gamjatang,2,3,219,205,감자탕59.jpeg,225,225
a bowl of gamjatang,1,6,274,166,감자탕6.jpeg,275,183
a bowl of gamjatang,1,4,258,190,감자탕60.jpeg,259,194
a bowl of gamjatang,2,50,222,147,감자탕61.jpeg,224,224
a bowl of gamjatang,12,8,246,168,감자탕62.jpeg,259,194
a bowl of gamjatang,21,69,169,131,감자탕64.jpeg,225,225
a bowl of gamjatang,58,2,192,163,감자탕65.jpeg,300,168
a bowl of gamjatang,18,16,228,168,감자탕69.jpeg,254,199
a bowl of gamjatang,28,26,229,123,감자탕7.jpeg,278,181
a bowl of gamjatang,17,77,185,117,감자탕70.jpeg,219,230
a bowl of gamjatang,142,67,117,126,감자탕72.jpeg,259,194
a bowl of gamjatang,3,10,222,197,감자탕73.jpeg,225,225
a bowl of gamjatang,0,22,221,200,감자탕75.jpeg,225,225
a bowl of gamjatang,1,28,203,198,감자탕76.jpeg,205,246
a bowl of gamjatang,0,7,190,239,감자탕8.jpeg,194,259
a bowl of gamjatang,23,52,216,125,감자탕80.jpeg,267,189
a bowl of gamjatang,26,37,186,171,감자탕81.jpeg,225,225
a bowl of gamjatang,28,114,169,110,감자탕82.jpeg,214,236
a bowl of gamjatang,63,11,153,160,감자탕85.jpeg,260,194
a bowl of gamjatang,6,76,187,130,감자탕87.jpeg,225,225
a bowl of gamjatang,43,42,136,154,감자탕88.jpeg,225,225
a bowl of gamjatang,19,27,242,139,감자탕9.jpeg,275,183
a bowl of gamjatang,4,5,261,185,감자탕94.jpeg,265,190
a bowl of gamjatang,30,4,246,164,감자탕95.jpeg,299,168
a bowl of gamjatang,0,13,220,206,감자탕97.jpeg,225,225
