label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
a bowl of kimchi stew,28,23,186,178,김치찜1.jpeg,225,225
a bowl of kimchi stew,29,2,266,159,김치찜10.jpeg,300,168
a bowl of kimchi stew,31,104,145,107,김치찜11.jpeg,200,252
a bowl of kimchi stew,4,3,269,163,김치찜12.jpeg,275,183
a bowl of kimchi stew,9,33,216,181,김치찜13.jpeg,225,225
a bowl of kimchi stew,68,9,178,147,김치찜14.jpeg,300,168
a bowl of kimchi stew,12,6,264,171,김치찜15.jpeg,276,183
a bowl of kimchi stew,51,68,128,119,김치찜16.jpeg,225,225
a bowl of rice,16,2,61,62,김치찜16.jpeg,225,225
a bowl of kimchi stew,20,9,223,173,김치찜17.jpeg,259,194
a bowl of kimchi stew,32,55,162,119,김치찜18.jpeg,225,225
a bowl of kimchi stew,31,6,211,159,김치찜19.jpeg,278,181
a bowl of kimchi stew,22,9,203,171,김치찜2.jpeg,259,194
a bowl of kimchi stew,16,19,204,164,김치찜20.jpeg,245,205
a bowl of kimchi stew,55,28,153,146,김치찜21.jpeg,259,194
a bowl of kimchi stew,59,66,125,137,김치찜22.jpeg,194,260
a bowl of kimchi stew,6,98,186,130,김치찜23.jpeg,203,248
a bowl of kimchi stew,44,4,198,179,김치찜24.jpeg,276,183
a bowl of kimchi stew,12,5,204,211,김치찜25.jpeg,225,225
a bowl of kimchi stew,23,60,178,114,김치찜26.jpeg,225,225
a bowl of kimchi stew,55,18,147,157,김치찜27.jpeg,266,190
a bowl of kimchi stew,46,24,172,130,김치찜28.jpeg,275,183
a bowl of kimchi stew,34,33,195,132,김치찜29.jpeg,257,196
a bowl of kimchi stew,25,61,137,144,김치찜3.jpeg,194,259
a bowl of kimchi stew,33,35,191,129,김치찜30.jpeg,275,183
a bowl of kimchi stew,37,7,216,162,김치찜32.jpeg,275,183
a bowl of kimchi stew,136,0,164,156,김치찜33.jpeg,300,168
a bowl of kimchi stew,11,35,185,185,김치찜34.jpeg,225,225
a bowl of kimchi stew,16,7,209,218,김치찜35.jpeg,225,225
a bowl of kimchi stew,22,4,278,164,김치찜36.jpeg,300,168
a bowl of kimchi stew,45,57,160,150,김치찜37.jpeg,225,225
a bowl of kimchi stew,5,104,175,145,김치찜38.jpeg,199,253
a bowl of kimchi stew,23,59,139,162,김치찜4.jpeg,183,275
a bowl of kimchi stew,18,5,240,190,김치찜40.jpeg,258,195
a bowl of kimchi stew,38,102,123,123,김치찜41.jpeg,205,246
a bowl of kimchi stew,3,4,221,190,김치찜44.jpeg,225,225
a bowl of kimchi stew,2,2,296,160,김치찜46.jpeg,300,168
a bowl of kimchi stew,6,6,214,208,김치찜48.jpeg,225,224
a bowl of kimchi stew,153,85,131,92,김치찜49.jpeg,284,177
a bowl of kimchi stew,11,4,243,186,김치찜5.jpeg,259,194
a bowl of kimchi stew,64,109,91,104,김치찜50.jpeg,194,259
a bowl of kimchi stew,18,43,190,163,김치찜51.jpeg,223,226
a bowl of kimchi stew,7,12,218,213,김치찜52.jpeg,225,225
a bowl of kimchi stew,14,77,285,92,김치찜53.jpeg,299,169
a bowl of kimchi stew,55,126,170,99,김치찜54.jpeg,225,225
a bowl of kimchi stew,0,9,223,206,김치찜55.jpeg,225,225
a bowl of kimchi stew,0,33,144,161,김치찜56.jpeg,225,225
a bowl of kimchi stew,27,54,191,137,김치찜57.jpeg,225,225
a bowl of kimchi stew,7,26,211,189,김치찜58.jpeg,225,225
a bowl of kimchi stew,28,68,160,157,김치찜59.jpeg,225,225
a bowl of kimchi stew,12,2,245,179,김치찜6.jpeg,275,183
a bowl of kimchi stew,34,5,236,160,김치찜60.jpeg,303,166
a bowl of kimchi stew,16,17,163,167,김치찜61.jpeg,225,225
a bowl of kimchi stew,121,40,104,117,김치찜63.jpeg,225,225
a bowl of kimchi stew,113,50,59,64,김치찜64.jpeg,275,183
a bowl of rice,175,0,60,39,김치찜64.jpeg,275,183
a bowl of kimchi stew,95,113,130,112,김치찜65.jpeg,225,225
a bowl of kimchi stew,33,25,214,135,김치찜66.jpeg,259,194
a bowl of kimchi stew,3,4,256,190,김치찜67.jpeg,259,194
a bowl of kimchi stew,113,48,75,75,김치찜68.jpeg,299,168
a bowl of kimchi stew,31,54,200,122,김치찜69.jpeg,259,194
a bowl of kimchi stew,62,18,148,146,김치찜7.jpeg,275,183
a bowl of kimchi stew,31,22,181,150,김치찜70.jpeg,244,207
a bowl of kimchi stew,26,5,158,145,김치찜71.jpeg,290,174
a bowl of rice,204,2,86,60,김치찜71.jpeg,290,174
a bowl of kimchi stew,35,14,154,192,김치찜73.jpeg,225,225
a bowl of kimchi stew,32,112,128,114,김치찜74.jpeg,199,254
a bowl of kimchi stew,81,13,72,70,김치찜77.jpeg,300,168
a bowl of kimchi stew,91,47,78,72,김치찜79.jpeg,275,183
a bowl of kimchi stew,44,13,161,159,김치찜8.jpeg,259,194
a bowl of kimchi stew,0,36,209,173,김치찜80.jpeg,225,225
a bowl of kimchi stew,59,90,101,85,김치찜82.jpeg,197,256
a bowl of kimchi stew,87,88,60,60,김치찜84.jpeg,277,182
a bowl of rice,173,113,42,37,김치찜84.jpeg,277,182
a bowl of kimchi stew,26,29,156,141,김치찜86.jpeg,224,224
a bowl of kimchi stew,140,15,141,92,김치찜87.jpeg,300,168
a bowl of kimchi stew,0,28,185,220,김치찜88.jpeg,194,259
a bowl of kimchi stew,21,137,135,76,김치찜89.jpeg,213,237
a bowl of kimchi stew,18,17,189,185,김치찜9.jpeg,225,225
a bowl of kimchi stew,142,52,83,173,김치찜90.jpeg,225,225
a bowl of kimchi stew,71,79,118,132,김치찜93.jpeg,225,225
a bowl of kimchi stew,73,28,141,114,김치찜94.jpeg,287,176
a bowl of kimchi stew,120,105,65,74,김치찜95.jpeg,255,198
a bowl of rice,44,145,52,38,김치찜95.jpeg,255,198
a bowl of kimchi stew,21,38,231,95,김치찜98.jpeg,315,160
a bowl of kimchi stew,9,102,120,100,김치찜99.jpeg,197,256
