label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
lunch box,12,41,133,93,도시락1.jpeg,243,207
lunch box,4,29,222,169,도시락10.jpeg,233,217
lunch box,17,2,271,173,도시락11.jpeg,288,175
lunch box,34,8,195,166,도시락12.jpeg,275,183
lunch box,18,3,256,172,도시락13.jpeg,288,175
lunch box,32,18,200,170,도시락14.jpeg,260,194
lunch box,68,32,135,127,도시락15.jpeg,271,186
lunch box,17,32,185,163,도시락16.jpeg,225,225
lunch box,8,12,81,72,도시락18.jpeg,276,183
lunch box,102,17,92,66,도시락18.jpeg,276,183
lunch box,58,89,90,82,도시락18.jpeg,276,183
lunch box,158,92,83,75,도시락18.jpeg,276,183
lunch box,5,22,132,135,도시락19.jpeg,275,183
lunch box,135,17,137,143,도시락19.jpeg,275,183
lunch box,3,16,73,63,도시락2.jpeg,224,224
lunch box,73,14,77,69,도시락2.jpeg,224,224
lunch box,153,21,68,63,도시락2.jpeg,224,224
lunch box,37,82,73,64,도시락2.jpeg,224,224
lunch box,116,78,70,64,도시락2.jpeg,224,224
lunch box,6,140,68,66,도시락2.jpeg,224,224
lunch box,74,141,75,64,도시락2.jpeg,224,224
lunch box,149,144,72,65,도시락2.jpeg,224,224
lunch box,12,21,223,157,도시락20.jpeg,256,197
lunch box,30,25,174,162,도시락21.jpeg,234,215
lunch box,7,6,244,168,도시락22.jpeg,278,181
lunch box,18,42,188,141,도시락23.jpeg,225,225
lunch box,10,116,65,47,도시락24.jpeg,224,224
lunch box,10,168,63,43,도시락24.jpeg,224,224
lunch box,80,117,64,44,도시락24.jpeg,224,224
lunch box,76,170,70,44,도시락24.jpeg,224,224
lunch box,148,114,69,55,도시락24.jpeg,224,224
lunch box,151,167,73,47,도시락24.jpeg,224,224
lunch box,4,2,242,203,도시락26.jpeg,246,205
lunch box,14,85,132,78,도시락28.jpeg,300,168
lunch box,150,83,145,78,도시락28.jpeg,300,168
lunch box,5,2,149,87,도시락28.jpeg,300,168
lunch box,151,5,142,75,도시락28.jpeg,300,168
lunch box,22,14,91,60,도시락29.jpeg,225,225
lunch box,18,78,82,65,도시락29.jpeg,225,225
lunch box,19,152,90,57,도시락29.jpeg,225,225
lunch box,114,153,100,60,도시락29.jpeg,225,225
lunch box,107,79,109,68,도시락29.jpeg,225,225
lunch box,120,15,86,53,도시락29.jpeg,225,225
lunch box,11,3,264,170,도시락3.jpeg,281,179
lunch box,49,5,66,70,도시락30.jpeg,194,259
lunch box,26,84,71,72,도시락30.jpeg,194,259
lunch box,30,169,62,70,도시락30.jpeg,194,259
lunch box,107,131,65,79,도시락30.jpeg,194,259
lunch box,126,51,68,72,도시락30.jpeg,194,259
lunch box,61,3,165,173,도시락31.jpeg,272,185
lunch box,24,4,184,220,도시락32.jpeg,225,224
lunch box,0,183,82,90,도시락33.jpeg,176,286
lunch box,0,87,74,89,도시락33.jpeg,176,286
lunch box,100,207,76,79,도시락33.jpeg,176,286
lunch box,9,4,123,182,도시락34.jpeg,261,193
lunch box,125,6,136,187,도시락34.jpeg,261,193
lunch box,52,93,77,76,도시락35.jpeg,275,183
lunch box,140,107,74,61,도시락35.jpeg,275,183
lunch box,124,35,52,76,도시락35.jpeg,275,183
lunch box,179,28,74,68,도시락35.jpeg,275,183
lunch box,38,3,80,76,도시락35.jpeg,275,183
lunch box,24,25,182,191,도시락37.jpeg,225,225
lunch box,24,8,200,176,도시락40.jpeg,265,190
lunch box,50,59,73,49,도시락42.jpeg,251,201
lunch box,125,56,74,56,도시락42.jpeg,251,201
lunch box,16,19,32,41,도시락43.jpeg,197,256
lunch box,46,15,28,48,도시락43.jpeg,197,256
lunch box,71,17,32,39,도시락43.jpeg,197,256
lunch box,102,19,28,40,도시락43.jpeg,197,256
lunch box,2,20,233,136,도시락44.jpeg,287,175
lunch box,3,5,222,219,도시락45.jpeg,225,224
lunch box,3,6,265,169,도시락46.jpeg,275,183
lunch box,98,7,88,97,도시락47.jpeg,210,240
lunch box,10,75,91,67,도시락47.jpeg,210,240
lunch box,108,93,97,90,도시락47.jpeg,210,240
lunch box,53,7,206,179,도시락5.jpeg,259,194
lunch box,14,22,211,184,도시락53.jpeg,225,225
lunch box,10,7,110,184,도시락54.jpeg,252,200
lunch box,127,8,117,184,도시락54.jpeg,252,200
lunch box,23,45,179,118,도시락56.jpeg,225,225
lunch box,4,79,212,116,도시락59.jpeg,225,225
lunch box,24,47,152,139,도시락6.jpeg,225,225
lunch box,42,2,60,79,도시락63.jpeg,276,182
lunch box,37,93,72,76,도시락63.jpeg,276,182
lunch box,109,17,70,59,도시락63.jpeg,276,182
lunch box,111,83,64,90,도시락63.jpeg,276,182
lunch box,190,96,74,75,도시락63.jpeg,276,182
lunch box,187,2,68,85,도시락63.jpeg,276,182
lunch box,22,27,162,146,도시락64.jpeg,275,183
lunch box,6,85,204,125,도시락65.jpeg,214,235
lunch box,18,49,184,122,도시락68.jpeg,225,225
lunch box,61,0,104,76,도시락69.jpeg,324,155
lunch box,141,81,113,74,도시락69.jpeg,324,155
lunch box,19,29,187,160,도시락7.jpeg,225,225
lunch box,39,150,119,79,도시락71.jpeg,210,240
lunch box,0,87,101,53,도시락71.jpeg,210,240
lunch box,115,31,89,52,도시락71.jpeg,210,240
lunch box,8,2,186,257,도시락73.jpeg,194,259
lunch box,8,55,217,154,도시락74.jpeg,225,225
lunch box,5,20,171,231,도시락75.jpeg,187,269
lunch box,18,14,210,191,도시락77.jpeg,243,207
lunch box,6,5,114,175,도시락8.jpeg,268,188
lunch box,133,8,131,166,도시락8.jpeg,268,188
lunch box,56,30,188,147,도시락80.jpeg,259,194
lunch box,11,27,188,203,도시락82.jpeg,202,250
lunch box,127,177,90,56,도시락84.jpeg,217,233
lunch box,54,174,73,55,도시락84.jpeg,217,233
lunch box,34,45,64,68,도시락84.jpeg,217,233
lunch box,81,18,46,38,도시락84.jpeg,217,233
lunch box,26,20,172,183,도시락85.jpeg,225,225
lunch box,92,50,91,69,도시락86.jpeg,275,183
lunch box,8,4,228,160,도시락87.jpeg,236,188
lunch box,47,3,207,160,도시락88.jpeg,300,168
lunch box,11,24,153,132,도시락89.jpeg,267,189
lunch box,39,20,97,64,도시락9.jpeg,225,225
lunch box,135,17,87,66,도시락9.jpeg,225,225
lunch box,9,84,82,58,도시락9.jpeg,225,225
lunch box,95,87,80,59,도시락9.jpeg,225,225
lunch box,53,147,83,59,도시락9.jpeg,225,225
lunch box,17,4,272,149,도시락90.jpeg,304,166
lunch box,3,109,76,50,도시락91.jpeg,231,218
lunch box,81,109,71,50,도시락91.jpeg,231,218
lunch box,154,110,71,47,도시락91.jpeg,231,218
lunch box,4,161,78,49,도시락91.jpeg,231,218
lunch box,83,162,66,49,도시락91.jpeg,231,218
lunch box,152,162,73,49,도시락91.jpeg,231,218
lunch box,38,7,155,200,도시락94.jpeg,225,225
lunch box,27,62,169,128,도시락96.jpeg,224,224
lunch box,25,37,178,147,도시락97.jpeg,225,225
lunch box,5,5,220,153,도시락99.jpeg,302,167
