label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
a plate of pork cutlet,6,48,214,141,돈까스1.jpeg,225,225
a plate of pork cutlet,107,0,122,151,돈까스10.jpeg,300,168
a plate of pork cutlet,11,63,150,123,돈까스100.jpeg,225,225
a plate of pork cutlet,53,60,125,101,돈까스11.jpeg,266,190
a plate of pork cutlet,72,97,134,103,돈까스12.jpeg,225,225
a plate of pork cutlet,28,42,173,120,돈까스13.jpeg,300,168
a plate of pork cutlet,25,119,125,77,돈까스14.jpeg,225,225
a plate of pork cutlet,94,13,97,86,돈까스14.jpeg,225,225
a plate of pork cutlet,64,26,102,64,돈까스15.jpeg,275,183
a plate of pork cutlet,84,53,159,117,돈까스16.jpeg,257,196
a plate of pork cutlet,36,69,186,109,돈까스17.jpeg,259,194
a plate of pork cutlet,29,14,231,166,돈까스18.jpeg,275,183
a plate of pork cutlet,3,66,202,127,돈까스19.jpeg,225,225
a plate of pork cutlet,32,27,241,148,돈까스2.jpeg,273,185
a plate of pork cutlet,63,68,132,93,돈까스21.jpeg,259,194
a plate of pork cutlet,39,74,126,118,돈까스22.jpeg,225,225
a plate of pork cutlet,16,39,225,116,돈까스23.jpeg,266,190
a plate of pork cutlet,25,89,195,98,돈까스24.jpeg,225,225
a plate of pork cutlet,113,41,119,121,돈까스26.jpeg,259,195
a plate of pork cutlet,1,48,255,128,돈까스27.jpeg,267,189
a plate of pork cutlet,38,71,188,133,돈까스28.jpeg,225,225
a plate of pork cutlet,47,56,158,158,돈까스29.jpeg,225,225
a plate of pork cutlet,81,52,122,95,돈까스3.jpeg,276,183
a plate of pork cutlet,4,100,173,111,돈까스30.jpeg,225,225
a plate of pork cutlet,15,68,235,130,돈까스31.jpeg,254,198
a plate of pork cutlet,66,61,159,106,돈까스32.jpeg,225,225
a plate of pork cutlet,53,46,176,108,돈까스33.jpeg,259,194
a plate of pork cutlet,0,0,114,86,돈까스34.jpeg,259,194
a plate of pork cutlet,58,58,122,110,돈까스35.jpeg,244,207
a plate of pork cutlet,26,86,198,84,돈까스36.jpeg,259,194
a plate of pork cutlet,38,66,154,96,돈까스37.jpeg,275,183
a plate of pork cutlet,8,27,155,120,돈까스38.jpeg,200,252
a plate of pork cutlet,55,72,186,86,돈까스39.jpeg,276,183
a plate of pork cutlet,7,13,252,181,돈까스4.jpeg,259,194
a plate of pork cutlet,125,77,146,72,돈까스40.jpeg,271,186
a plate of pork cutlet,8,2,163,85,돈까스41.jpeg,259,194
a plate of pork cutlet,144,22,58,89,돈까스42.jpeg,259,194
a plate of pork cutlet,67,110,158,115,돈까스43.jpeg,225,225
a plate of pork cutlet,16,87,209,104,돈까스44.jpeg,225,225
a plate of pork cutlet,92,20,114,116,돈까스45.jpeg,225,225
a plate of pork cutlet,25,64,116,106,돈까스45.jpeg,225,225
a plate of pork cutlet,49,69,163,102,돈까스46.jpeg,265,191
a plate of pork cutlet,84,46,120,112,돈까스48.jpeg,259,194
a plate of pork cutlet,18,47,236,107,돈까스49.jpeg,268,188
a plate of pork cutlet,33,42,189,150,돈까스5.jpeg,225,225
a plate of pork cutlet,31,58,219,98,돈까스50.jpeg,259,194
a plate of pork cutlet,68,87,87,46,돈까스51.jpeg,220,229
a plate of pork cutlet,19,76,140,92,돈까스52.jpeg,225,225
a plate of pork cutlet,55,48,112,75,돈까스53.jpeg,234,215
a plate of pork cutlet,21,40,160,193,돈까스54.jpeg,194,259
a plate of pork cutlet,71,113,95,63,돈까스57.jpeg,225,225
a plate of pork cutlet,16,0,174,199,돈까스58.jpeg,251,201
a plate of pork cutlet,0,0,221,219,돈까스59.jpeg,225,225
a plate of pork cutlet,29,93,158,88,돈까스6.jpeg,225,225
a plate of pork cutlet,7,41,192,212,돈까스60.jpeg,199,253
a plate of pork cutlet,9,10,131,119,돈까스61.jpeg,259,194
a plate of pork cutlet,133,57,126,137,돈까스61.jpeg,259,194
a plate of pork cutlet,45,59,115,127,돈까스63.jpeg,225,225
a plate of pork cutlet,6,129,180,101,돈까스64.jpeg,208,242
a plate of pork cutlet,32,83,168,90,돈까스66.jpeg,225,225
a plate of pork cutlet,34,61,175,114,돈까스68.jpeg,259,194
a plate of pork cutlet,50,59,131,141,돈까스69.jpeg,225,225
a plate of pork cutlet,39,49,178,133,돈까스7.jpeg,225,225
a plate of pork cutlet,35,87,157,78,돈까스70.jpeg,220,229
a plate of pork cutlet,136,125,164,43,돈까스72.jpeg,300,168
a plate of pork cutlet,35,153,119,47,돈까스73.jpeg,225,225
a plate of pork cutlet,101,38,141,137,돈까스74.jpeg,272,185
a plate of pork cutlet,18,82,200,78,돈까스76.jpeg,274,184
a plate of pork cutlet,89,101,125,84,돈까스8.jpeg,225,225
a plate of pork cutlet,4,99,130,65,돈까스80.jpeg,299,168
a plate of pork cutlet,63,98,68,44,돈까스82.jpeg,201,251
a plate of pork cutlet,106,184,78,52,돈까스82.jpeg,201,251
a plate of pork cutlet,70,83,146,91,돈까스83.jpeg,259,194
a plate of pork cutlet,4,14,181,168,돈까스84.jpeg,225,225
a plate of pork cutlet,10,23,182,167,돈까스85.jpeg,225,225
a plate of pork cutlet,88,25,138,96,돈까스86.jpeg,276,183
a plate of pork cutlet,0,61,105,49,돈까스88.jpeg,259,194
a plate of pork cutlet,113,0,57,26,돈까스88.jpeg,259,194
a plate of pork cutlet,9,10,225,169,돈까스89.jpeg,259,194
a plate of pork cutlet,37,39,147,131,돈까스9.jpeg,259,194
a plate of pork cutlet,3,50,216,144,돈까스90.jpeg,225,225
a plate of pork cutlet,195,63,103,72,돈까스91.jpeg,318,159
a plate of pork cutlet,60,83,139,74,돈까스92.jpeg,225,225
a plate of pork cutlet,43,93,100,99,돈까스93.jpeg,224,224
a plate of pork cutlet,178,126,46,98,돈까스93.jpeg,224,224
a plate of pork cutlet,63,26,166,132,돈까스94.jpeg,307,164
a plate of pork cutlet,4,53,263,121,돈까스95.jpeg,275,183
a plate of pork cutlet,82,131,121,63,돈까스97.jpeg,225,225
a plate of pork cutlet,48,40,202,116,돈까스98.jpeg,275,183
