label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
A bowl of tteokbokki,19,50,188,134,떡볶이1.jpeg,225,225
A bowl of tteokbokki,53,11,143,154,떡볶이10.jpeg,276,183
A bowl of tteokbokki,38,53,188,143,떡볶이11.jpeg,225,225
A bowl of tteokbokki,90,15,133,138,떡볶이12.jpeg,299,168
A bowl of tteokbokki,23,19,175,179,떡볶이13.jpeg,225,224
A bowl of tteokbokki,0,0,251,196,떡볶이14.jpeg,256,197
A bowl of tteokbokki,13,0,212,225,떡볶이15.jpeg,225,225
A bowl of tteokbokki,50,25,197,149,떡볶이16.jpeg,275,183
A bowl of tteokbokki,94,68,153,74,떡볶이17.jpeg,275,183
A bowl of tteokbokki,19,26,158,176,떡볶이18.jpeg,225,225
A bowl of tteokbokki,21,53,183,113,떡볶이19.jpeg,225,225
A bowl of tteokbokki,1,3,222,211,떡볶이2.jpeg,225,225
A bowl of tteokbokki,15,23,196,172,떡볶이20.jpeg,225,225
A bowl of tteokbokki,5,5,249,184,떡볶이21.jpeg,259,194
A bowl of tteokbokki,0,46,221,156,떡볶이22.jpeg,225,225
A bowl of tteokbokki,11,9,273,168,떡볶이23.jpeg,284,177
A bowl of tteokbokki,4,33,189,155,떡볶이24.jpeg,193,261
A bowl of tteokbokki,19,32,200,176,떡볶이25.jpeg,225,225
A bowl of tteokbokki,31,23,175,171,떡볶이26.jpeg,225,225
A bowl of tteokbokki,30,132,107,85,떡볶이27.jpeg,190,266
A bowl of tteokbokki,6,17,219,178,떡볶이28.jpeg,225,225
A bowl of tteokbokki,45,86,180,113,떡볶이29.jpeg,225,225
A bowl of tteokbokki,51,20,208,152,떡볶이3.jpeg,259,194
A bowl of tteokbokki,13,15,190,186,떡볶이31.jpeg,228,221
A bowl of tteokbokki,92,2,143,164,떡볶이32.jpeg,300,168
A bowl of tteokbokki,46,41,136,150,떡볶이33.jpeg,225,225
A bowl of tteokbokki,31,43,113,115,떡볶이34.jpeg,252,200
A bowl of tteokbokki,22,42,179,132,떡볶이35.jpeg,225,225
A bowl of tteokbokki,26,117,150,81,떡볶이36.jpeg,190,266
A bowl of tteokbokki,41,39,173,133,떡볶이37.jpeg,264,191
A bowl of tteokbokki,4,94,271,89,떡볶이38.jpeg,275,183
A bowl of tteokbokki,16,0,208,208,떡볶이39.jpeg,229,220
A bowl of tteokbokki,35,11,188,202,떡볶이4.jpeg,225,225
A bowl of tteokbokki,27,69,166,98,떡볶이40.jpeg,225,225
A bowl of tteokbokki,70,83,111,110,떡볶이41.jpeg,208,243
A bowl of tteokbokki,35,47,174,123,떡볶이42.jpeg,225,225
A bowl of tteokbokki,43,65,60,58,떡볶이44.jpeg,189,267
A bowl of tteokbokki,78,127,62,58,떡볶이44.jpeg,189,267
A bowl of tteokbokki,39,173,52,69,떡볶이44.jpeg,189,267
A bowl of tteokbokki,46,13,157,153,떡볶이45.jpeg,284,177
A bowl of tteokbokki,79,79,131,142,떡볶이46.jpeg,210,240
A bowl of tteokbokki,42,0,194,189,떡볶이47.jpeg,267,189
A bowl of tteokbokki,186,45,117,108,떡볶이48.jpeg,325,155
A bowl of tteokbokki,70,44,133,128,떡볶이49.jpeg,225,225
A bowl of tteokbokki,36,0,240,152,떡볶이5.jpeg,276,183
A bowl of tteokbokki,1,19,224,201,떡볶이50.jpeg,225,225
A bowl of tteokbokki,151,22,117,96,떡볶이52.jpeg,282,178
A bowl of tteokbokki,0,82,167,126,떡볶이53.jpeg,183,275
A bowl of tteokbokki,42,45,137,130,떡볶이54.jpeg,225,225
A bowl of tteokbokki,38,91,144,78,떡볶이56.jpeg,225,225
A bowl of tteokbokki,36,59,147,156,떡볶이57.jpeg,225,225
A bowl of tteokbokki,1,8,256,156,떡볶이58.jpeg,275,183
A bowl of tteokbokki,0,33,246,142,떡볶이59.jpeg,275,183
A bowl of tteokbokki,24,38,183,118,떡볶이6.jpeg,259,194
A bowl of tteokbokki,0,21,269,151,떡볶이60.jpeg,275,183
A bowl of tteokbokki,30,29,168,169,떡볶이61.jpeg,225,225
A bowl of tteokbokki,0,42,178,184,떡볶이62.jpeg,200,252
A bowl of tteokbokki,0,20,240,169,떡볶이63.jpeg,261,193
A bowl of tteokbokki,0,23,201,206,떡볶이64.jpeg,205,246
A bowl of tteokbokki,0,38,189,205,떡볶이65.jpeg,194,259
A bowl of tteokbokki,26,62,142,135,떡볶이66.jpeg,194,259
A bowl of tteokbokki,55,53,151,140,떡볶이67.jpeg,225,225
A bowl of tteokbokki,76,126,78,43,떡볶이69.jpeg,224,224
A bowl of tteokbokki,44,12,226,138,떡볶이7.jpeg,283,178
A bowl of tteokbokki,6,0,287,141,떡볶이70.jpeg,300,168
A bowl of tteokbokki,27,25,179,174,떡볶이71.jpeg,225,225
A bowl of tteokbokki,13,43,188,137,떡볶이73.jpeg,225,225
A bowl of tteokbokki,0,0,250,190,떡볶이74.jpeg,259,194
A bowl of tteokbokki,48,66,170,115,떡볶이75.jpeg,225,225
A bowl of tteokbokki,0,28,218,193,떡볶이76.jpeg,225,225
A bowl of tteokbokki,3,11,195,244,떡볶이77.jpeg,198,255
A bowl of tteokbokki,9,24,198,172,떡볶이78.jpeg,225,225
A bowl of tteokbokki,19,139,206,86,떡볶이79.jpeg,225,225
A bowl of tteokbokki,0,0,274,163,떡볶이8.jpeg,300,168
A bowl of tteokbokki,46,26,174,124,떡볶이80.jpeg,275,183
A bowl of tteokbokki,0,45,221,154,떡볶이81.jpeg,225,225
A bowl of tteokbokki,2,3,273,174,떡볶이83.jpeg,275,183
A bowl of tteokbokki,35,43,148,145,떡볶이85.jpeg,183,275
A bowl of tteokbokki,10,35,147,134,떡볶이87.jpeg,225,225
