label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Grilled pork belly meat.,0,20,185,155,삼겹살 구이1.jpeg,275,183
Grilled pork belly meat.,4,32,179,148,삼겹살 구이10.jpeg,275,183
Grilled pork belly meat.,86,58,107,98,삼겹살 구이11.jpeg,275,183
Grilled pork belly meat.,7,15,282,142,삼겹살 구이12.jpeg,300,168
Grilled pork belly meat.,112,24,136,170,삼겹살 구이13.jpeg,251,201
Grilled pork belly meat.,37,8,263,160,삼겹살 구이14.jpeg,300,168
Grilled pork belly meat.,28,43,170,93,삼겹살 구이15.jpeg,275,183
Grilled pork belly meat.,0,0,235,195,삼겹살 구이16.jpeg,251,201
Grilled pork belly meat.,9,0,233,177,삼겹살 구이17.jpeg,275,183
Grilled pork belly meat.,8,0,251,183,삼겹살 구이18.jpeg,259,194
Grilled pork belly meat.,5,66,207,138,삼겹살 구이19.jpeg,225,225
Grilled pork belly meat.,134,7,91,170,삼겹살 구이19.jpeg,225,225
Grilled pork belly meat.,31,0,224,174,삼겹살 구이2.jpeg,259,194
Grilled pork belly meat.,8,16,237,148,삼겹살 구이20.jpeg,271,186
Grilled pork belly meat.,102,54,172,125,삼겹살 구이21.jpeg,275,183
Grilled pork belly meat.,80,26,155,143,삼겹살 구이22.jpeg,276,183
Grilled pork belly meat.,17,0,189,218,삼겹살 구이23.jpeg,222,227
Grilled pork belly meat.,31,9,192,154,삼겹살 구이24.jpeg,275,183
Grilled pork belly meat.,1,63,247,119,삼겹살 구이25.jpeg,271,186
Grilled pork belly meat.,52,33,166,130,삼겹살 구이26.jpeg,259,194
Grilled pork belly meat.,175,38,121,132,삼겹살 구이29.jpeg,296,170
Grilled pork belly meat.,23,21,215,166,삼겹살 구이3.jpeg,257,196
Grilled pork belly meat.,42,34,113,163,삼겹살 구이30.jpeg,194,259
Grilled pork belly meat.,59,128,102,68,삼겹살 구이32.jpeg,197,256
Grilled pork belly meat.,14,0,195,205,삼겹살 구이33.jpeg,225,225
Grilled pork belly meat.,50,24,141,177,삼겹살 구이36.jpeg,225,225
Grilled pork belly meat.,19,25,157,130,삼겹살 구이37.jpeg,300,168
Grilled pork belly meat.,39,5,228,161,삼겹살 구이38.jpeg,275,183
Grilled pork belly meat.,3,36,182,202,삼겹살 구이4.jpeg,201,251
Grilled pork belly meat.,32,27,232,121,삼겹살 구이41.jpeg,275,183
Grilled pork belly meat.,57,29,172,96,삼겹살 구이42.jpeg,275,183
Grilled pork belly meat.,0,15,263,154,삼겹살 구이43.jpeg,280,180
Grilled pork belly meat.,53,11,197,140,삼겹살 구이44.jpeg,305,165
Grilled pork belly meat.,68,26,81,63,삼겹살 구이45.jpeg,275,183
Grilled pork belly meat.,0,0,155,88,삼겹살 구이46.jpeg,296,170
Grilled pork belly meat.,35,97,126,43,삼겹살 구이46.jpeg,296,170
Grilled pork belly meat.,41,47,214,119,삼겹살 구이47.jpeg,259,194
Grilled pork belly meat.,37,123,108,64,삼겹살 구이48.jpeg,194,259
Grilled pork belly meat.,35,81,149,57,삼겹살 구이49.jpeg,289,175
Grilled pork belly meat.,64,26,182,136,삼겹살 구이5.jpeg,275,183
Grilled pork belly meat.,26,97,77,39,삼겹살 구이50.jpeg,243,207
Grilled pork belly meat.,81,2,188,176,삼겹살 구이51.jpeg,276,183
Grilled pork belly meat.,5,98,162,134,삼겹살 구이52.jpeg,183,275
Grilled pork belly meat.,54,3,196,179,삼겹살 구이53.jpeg,259,194
Grilled pork belly meat.,0,30,210,138,삼겹살 구이55.jpeg,225,225
Grilled pork belly meat.,0,31,273,133,삼겹살 구이57.jpeg,275,183
Grilled pork belly meat.,2,59,162,140,삼겹살 구이58.jpeg,225,225
Grilled pork belly meat.,5,99,93,91,삼겹살 구이59.jpeg,225,224
Grilled pork belly meat.,119,55,97,109,삼겹살 구이59.jpeg,225,224
Grilled pork belly meat.,17,0,251,166,삼겹살 구이6.jpeg,275,183
Grilled pork belly meat.,49,23,178,134,삼겹살 구이60.jpeg,275,183
Grilled pork belly meat.,105,4,59,176,삼겹살 구이62.jpeg,259,194
Grilled pork belly meat.,4,0,263,178,삼겹살 구이63.jpeg,275,183
Grilled pork belly meat.,24,101,134,69,삼겹살 구이64.jpeg,194,259
Grilled pork belly meat.,50,22,143,111,삼겹살 구이65.jpeg,275,183
Grilled pork belly meat.,16,150,152,70,삼겹살 구이66.jpeg,196,257
Grilled pork belly meat.,0,4,200,185,삼겹살 구이68.jpeg,225,225
Grilled pork belly meat.,74,63,103,95,삼겹살 구이69.jpeg,225,225
Grilled pork belly meat.,11,25,233,155,삼겹살 구이7.jpeg,275,183
Grilled pork belly meat.,89,103,122,125,삼겹살 구이70.jpeg,213,236
Grilled pork belly meat.,14,9,249,162,삼겹살 구이71.jpeg,275,183
Grilled pork belly meat.,86,13,210,145,삼겹살 구이72.jpeg,300,168
Grilled pork belly meat.,0,0,218,185,삼겹살 구이74.jpeg,224,224
Grilled pork belly meat.,37,75,63,71,삼겹살 구이75.jpeg,225,225
Grilled pork belly meat.,105,103,79,32,삼겹살 구이75.jpeg,225,225
Grilled pork belly meat.,0,6,245,144,삼겹살 구이76.jpeg,315,160
Grilled pork belly meat.,121,50,91,138,삼겹살 구이77.jpeg,259,194
Grilled pork belly meat.,43,66,46,123,삼겹살 구이77.jpeg,259,194
Grilled pork belly meat.,131,37,155,73,삼겹살 구이79.jpeg,300,168
Grilled pork belly meat.,124,74,88,128,삼겹살 구이8.jpeg,225,225
Grilled pork belly meat.,34,86,100,93,삼겹살 구이80.jpeg,239,211
Grilled pork belly meat.,15,4,232,167,삼겹살 구이81.jpeg,275,183
Grilled pork belly meat.,0,0,167,200,삼겹살 구이84.jpeg,194,259
Grilled pork belly meat.,76,98,60,55,삼겹살 구이88.jpeg,217,232
Grilled pork belly meat.,50,17,221,158,삼겹살 구이9.jpeg,275,183
Grilled pork belly meat.,0,162,172,87,삼겹살 구이93.jpeg,183,275
Grilled pork belly meat.,50,10,189,120,삼겹살 구이95.jpeg,259,194
Grilled pork belly meat.,0,20,212,173,삼겹살 구이96.jpeg,225,225
