label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
a plate of pigs's feet,27,20,187,182,족발1.jpeg,225,225
a plate of pigs's feet,88,61,175,107,족발10.jpeg,301,168
a plate of pigs's feet,56,82,105,34,족발100.jpeg,223,226
a plate of pigs's feet,45,16,170,147,족발11.jpeg,259,194
a plate of pigs's feet,2,54,219,133,족발12.jpeg,225,225
a plate of pigs's feet,43,35,181,124,족발13.jpeg,267,189
a plate of pigs's feet,0,36,205,167,족발14.jpeg,225,225
a plate of pigs's feet,0,26,293,137,족발15.jpeg,300,168
a plate of pigs's feet,3,53,216,153,족발16.jpeg,225,225
a plate of pigs's feet,6,35,282,104,족발17.jpeg,300,168
a plate of pigs's feet,68,51,161,60,족발18.jpeg,259,194
a plate of pigs's feet,0,30,192,162,족발19.jpeg,225,225
a plate of pigs's feet,0,28,217,135,족발2.jpeg,225,225
a plate of pigs's feet,15,25,222,120,족발20.jpeg,259,194
a plate of pigs's feet,0,29,281,131,족발21.jpeg,295,171
a plate of pigs's feet,3,17,213,201,족발22.jpeg,225,225
a plate of pigs's feet,24,21,201,204,족발23.jpeg,225,225
a plate of pigs's feet,5,41,244,140,족발24.jpeg,249,202
a plate of pigs's feet,15,96,200,131,족발25.jpeg,215,235
a plate of pigs's feet,0,42,242,157,족발26.jpeg,248,203
a plate of pigs's feet,16,27,209,198,족발27.jpeg,225,225
a plate of pigs's feet,6,27,269,156,족발28.jpeg,275,183
a plate of pigs's feet,76,134,86,47,족발29.jpeg,225,225
a plate of pigs's feet,21,21,277,148,족발3.jpeg,298,169
a plate of pigs's feet,71,84,100,112,족발30.jpeg,225,225
a plate of pigs's feet,66,52,143,147,족발31.jpeg,225,225
a plate of pigs's feet,53,169,67,58,족발32.jpeg,169,299
a plate of pigs's feet,1,34,190,150,족발33.jpeg,225,225
a plate of pigs's feet,42,61,149,125,족발36.jpeg,225,225
a plate of pigs's feet,26,140,130,78,족발37.jpeg,213,237
a plate of pigs's feet,51,38,163,151,족발39.jpeg,225,225
a plate of pigs's feet,6,12,219,205,족발4.jpeg,225,225
a plate of pigs's feet,17,45,182,121,족발40.jpeg,225,225
a plate of pigs's feet,19,94,134,130,족발42.jpeg,191,264
a plate of pigs's feet,135,79,68,85,족발43.jpeg,278,181
a plate of pigs's feet,43,17,108,94,족발43.jpeg,278,181
a plate of pigs's feet,83,67,89,80,족발44.jpeg,259,194
a plate of pigs's feet,111,89,149,84,족발45.jpeg,268,188
a plate of pigs's feet,5,93,99,139,족발46.jpeg,191,264
a plate of pigs's feet,66,34,150,131,족발47.jpeg,225,225
a plate of pigs's feet,161,125,47,65,족발48.jpeg,225,225
a plate of pigs's feet,57,110,59,76,족발48.jpeg,225,225
a plate of pigs's feet,87,52,156,113,족발49.jpeg,277,182
a plate of pigs's feet,0,0,211,222,족발5.jpeg,225,225
a plate of pigs's feet,96,94,89,103,족발51.jpeg,225,225
a plate of pigs's feet,20,0,217,164,족발52.jpeg,259,194
a plate of pigs's feet,0,21,224,192,족발53.jpeg,225,225
a plate of pigs's feet,14,41,156,131,족발54.jpeg,200,252
a plate of pigs's feet,64,0,169,146,족발55.jpeg,299,168
a plate of pigs's feet,59,65,149,64,족발56.jpeg,276,183
a plate of pigs's feet,30,0,182,186,족발57.jpeg,225,224
a plate of pigs's feet,17,79,176,112,족발58.jpeg,225,225
a plate of pigs's feet,81,63,125,98,족발59.jpeg,269,188
a plate of pigs's feet,35,8,197,171,족발6.jpeg,259,194
a plate of pigs's feet,35,13,203,143,족발60.jpeg,275,183
a plate of pigs's feet,0,0,234,212,족발61.jpeg,235,214
a plate of pigs's feet,42,0,197,134,족발64.jpeg,283,178
a plate of pigs's feet,51,11,148,129,족발66.jpeg,300,168
a plate of pigs's feet,22,9,235,152,족발67.jpeg,288,175
a plate of pigs's feet,0,22,211,182,족발69.jpeg,225,225
a plate of pigs's feet,46,25,149,137,족발7.jpeg,217,233
a plate of pigs's feet,96,126,85,82,족발71.jpeg,225,225
a plate of pigs's feet,2,68,214,157,족발73.jpeg,225,225
a plate of pigs's feet,34,18,152,176,족발74.jpeg,231,218
a plate of pigs's feet,81,0,158,156,족발76.jpeg,279,180
a plate of pigs's feet,10,43,206,156,족발77.jpeg,225,225
a plate of pigs's feet,39,0,153,180,족발78.jpeg,239,211
a plate of pigs's feet,54,14,173,136,족발8.jpeg,272,186
a plate of pigs's feet,38,101,89,87,족발80.jpeg,206,245
a plate of pigs's feet,59,46,103,119,족발82.jpeg,225,225
a plate of pigs's feet,0,0,202,133,족발83.jpeg,225,225
a plate of pigs's feet,71,0,146,109,족발86.jpeg,225,225
a plate of pigs's feet,38,40,171,146,족발87.jpeg,262,192
a plate of pigs's feet,63,23,180,102,족발88.jpeg,275,183
a plate of pigs's feet,27,92,147,105,족발9.jpeg,205,245
a plate of pigs's feet,17,27,201,133,족발92.jpeg,225,225
a plate of pigs's feet,41,90,138,94,족발93.jpeg,224,224
a plate of pigs's feet,134,39,109,76,족발96.jpeg,281,179
a plate of pigs's feet,16,23,168,166,족발99.jpeg,259,194
