label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Black-bean-sauce noodles,5,14,208,165,짜장면1.jpeg,227,222
Black-bean-sauce noodles,9,31,171,161,짜장면10.jpeg,225,225
Black-bean-sauce noodles,11,56,157,185,짜장면100.jpeg,194,259
Black-bean-sauce noodles,41,30,192,131,짜장면11.jpeg,277,182
Black-bean-sauce noodles,69,60,127,112,짜장면12.jpeg,276,183
Black-bean-sauce noodles,32,9,185,216,짜장면13.jpeg,225,225
Black-bean-sauce noodles,66,53,140,96,짜장면14.jpeg,275,183
Black-bean-sauce noodles,27,33,184,165,짜장면15.jpeg,225,225
Black-bean-sauce noodles,47,59,178,157,짜장면16.jpeg,225,225
Black-bean-sauce noodles,30,72,116,107,짜장면17.jpeg,175,288
Black-bean-sauce noodles,38,30,165,184,짜장면18.jpeg,203,248
Black-bean-sauce noodles,28,26,167,138,짜장면19.jpeg,257,196
Black-bean-sauce noodles,21,10,254,145,짜장면2.jpeg,300,168
Black-bean-sauce noodles,23,50,172,136,짜장면20.jpeg,225,224
Black-bean-sauce noodles,48,46,186,132,짜장면22.jpeg,275,183
Black-bean-sauce noodles,94,19,181,164,짜장면23.jpeg,275,183
Black-bean-sauce noodles,37,38,152,146,짜장면24.jpeg,233,216
Black-bean-sauce noodles,44,29,198,130,짜장면25.jpeg,275,183
Black-bean-sauce noodles,7,46,207,163,짜장면26.jpeg,225,225
Black-bean-sauce noodles,29,22,162,176,짜장면27.jpeg,225,225
Black-bean-sauce noodles,44,9,221,168,짜장면28.jpeg,284,177
Black-bean-sauce noodles,20,24,223,184,짜장면3.jpeg,243,208
Black-bean-sauce noodles,40,8,182,180,짜장면31.jpeg,268,188
Black-bean-sauce noodles,17,7,237,187,짜장면33.jpeg,259,194
Black-bean-sauce noodles,8,12,230,196,짜장면34.jpeg,242,208
Black-bean-sauce noodles,20,30,214,145,짜장면35.jpeg,259,194
Black-bean-sauce noodles,65,7,181,151,짜장면36.jpeg,300,168
Black-bean-sauce noodles,134,84,110,108,짜장면37.jpeg,244,206
Black-bean-sauce noodles,16,0,249,169,짜장면38.jpeg,286,176
Black-bean-sauce noodles,38,25,137,132,짜장면39.jpeg,288,175
Black-bean-sauce noodles,25,57,166,117,짜장면4.jpeg,224,224
Black-bean-sauce noodles,5,5,219,219,짜장면41.jpeg,224,224
Black-bean-sauce noodles,41,38,165,127,짜장면42.jpeg,287,176
Black-bean-sauce noodles,22,3,227,184,짜장면43.jpeg,269,187
Black-bean-sauce noodles,8,9,217,216,짜장면45.jpeg,225,225
Black-bean-sauce noodles,99,11,139,127,짜장면47.jpeg,299,168
Black-bean-sauce noodles,43,48,173,133,짜장면48.jpeg,259,194
Black-bean-sauce noodles,4,3,215,154,짜장면5.jpeg,300,168
Black-bean-sauce noodles,106,79,97,87,짜장면51.jpeg,250,202
Black-bean-sauce noodles,13,11,255,172,짜장면52.jpeg,275,183
Black-bean-sauce noodles,43,25,183,165,짜장면53.jpeg,258,196
Black-bean-sauce noodles,0,13,147,140,짜장면55.jpeg,310,162
Black-bean-sauce noodles,112,28,135,134,짜장면57.jpeg,265,190
Black-bean-sauce noodles,42,17,190,142,짜장면6.jpeg,276,183
Black-bean-sauce noodles,3,11,235,184,짜장면61.jpeg,259,195
Black-bean-sauce noodles,103,20,108,99,짜장면62.jpeg,225,225
Black-bean-sauce noodles,11,13,257,157,짜장면64.jpeg,275,183
Black-bean-sauce noodles,37,38,168,146,짜장면65.jpeg,259,194
Black-bean-sauce noodles,60,22,151,145,짜장면66.jpeg,275,183
Black-bean-sauce noodles,51,19,166,140,짜장면69.jpeg,300,168
Black-bean-sauce noodles,16,16,203,152,짜장면7.jpeg,259,194
Black-bean-sauce noodles,20,0,219,173,짜장면70.jpeg,275,183
Black-bean-sauce noodles,16,96,130,117,짜장면71.jpeg,170,296
Black-bean-sauce noodles,30,32,218,134,짜장면72.jpeg,275,183
Black-bean-sauce noodles,32,32,132,101,짜장면74.jpeg,275,183
Black-bean-sauce noodles,2,46,79,70,짜장면77.jpeg,260,194
Black-bean-sauce noodles,54,51,150,117,짜장면79.jpeg,225,225
Black-bean-sauce noodles,92,73,113,108,짜장면8.jpeg,259,194
Black-bean-sauce noodles,39,22,167,182,짜장면82.jpeg,224,225
Black-bean-sauce noodles,52,22,193,137,짜장면83.jpeg,286,176
Black-bean-sauce noodles,48,124,109,97,짜장면85.jpeg,193,261
Black-bean-sauce noodles,116,15,77,119,짜장면85.jpeg,193,261
Black-bean-sauce noodles,71,99,95,68,짜장면88.jpeg,302,167
Black-bean-sauce noodles,186,93,98,74,짜장면88.jpeg,302,167
Black-bean-sauce noodles,130,53,72,48,짜장면88.jpeg,302,167
Black-bean-sauce noodles,197,43,70,44,짜장면88.jpeg,302,167
Black-bean-sauce noodles,172,52,123,73,짜장면89.jpeg,317,159
Black-bean-sauce noodles,91,37,149,151,짜장면9.jpeg,249,202
Black-bean-sauce noodles,31,5,210,160,짜장면90.jpeg,287,175
Black-bean-sauce noodles,63,19,72,48,짜장면91.jpeg,292,173
Black-bean-sauce noodles,75,112,115,79,짜장면92.jpeg,225,225
Black-bean-sauce noodles,0,0,224,210,짜장면94.jpeg,227,222
Black-bean-sauce noodles,4,80,221,145,짜장면95.jpeg,225,225
Black-bean-sauce noodles,48,23,186,125,짜장면97.jpeg,297,170
Black-bean-sauce noodles,172,54,124,95,짜장면98.jpeg,318,159
Black-bean-sauce noodles,18,19,237,147,짜장면99.jpeg,275,183
