label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
a bowl of pasta,32,41,162,124,토마토파스타1.jpeg,225,225
a bowl of pasta,88,21,184,125,토마토파스타10.jpeg,300,168
a bowl of pasta,35,35,149,158,토마토파스타100.jpeg,225,225
a bowl of pasta,104,26,188,136,토마토파스타11.jpeg,300,168
a bowl of pasta,46,35,154,155,토마토파스타12.jpeg,225,225
a bowl of pasta,6,9,178,174,토마토파스타13.jpeg,275,183
a bowl of pasta,76,39,138,111,토마토파스타14.jpeg,276,183
a bowl of pasta,21,37,219,151,토마토파스타15.jpeg,251,201
a bowl of pasta,70,55,127,96,토마토파스타16.jpeg,275,183
a bowl of pasta,36,68,162,109,토마토파스타17.jpeg,225,225
a bowl of pasta,30,89,158,107,토마토파스타18.jpeg,237,213
a bowl of pasta,17,39,104,78,토마토파스타19.jpeg,177,284
a bowl of pasta,26,141,182,84,토마토파스타21.jpeg,225,225
a bowl of pasta,51,98,105,65,토마토파스타22.jpeg,197,256
a bowl of pasta,30,76,160,96,토마토파스타23.jpeg,225,225
a bowl of pasta,27,37,162,132,토마토파스타24.jpeg,267,189
a bowl of pasta,43,33,156,146,토마토파스타25.jpeg,225,225
a bowl of pasta,68,19,157,180,토마토파스타26.jpeg,225,225
a bowl of pasta,36,27,170,136,토마토파스타27.jpeg,259,194
a bowl of pasta,18,25,238,130,토마토파스타28.jpeg,299,168
a bowl of pasta,8,24,229,159,토마토파스타29.jpeg,275,183
a bowl of pasta,14,31,209,167,토마토파스타3.jpeg,225,225
a bowl of pasta,29,16,197,162,토마토파스타30.jpeg,254,198
a bowl of pasta,91,40,74,61,토마토파스타31.jpeg,225,225
a bowl of pasta,108,49,116,82,토마토파스타32.jpeg,275,183
a bowl of pasta,57,12,215,156,토마토파스타33.jpeg,300,168
a bowl of pasta,34,15,183,183,토마토파스타34.jpeg,225,225
a bowl of pasta,90,25,181,135,토마토파스타35.jpeg,276,183
a bowl of pasta,2,36,223,189,토마토파스타36.jpeg,225,225
a bowl of pasta,26,78,149,111,토마토파스타37.jpeg,197,255
a bowl of pasta,105,7,176,162,토마토파스타38.jpeg,290,174
a bowl of pasta,39,44,185,121,토마토파스타39.jpeg,267,189
a bowl of pasta,33,4,214,182,토마토파스타4.jpeg,259,194
a bowl of pasta,32,70,116,113,토마토파스타40.jpeg,275,183
a bowl of pasta,149,2,114,90,토마토파스타40.jpeg,275,183
a bowl of pasta,53,60,133,92,토마토파스타41.jpeg,271,186
a bowl of pasta,46,118,109,77,토마토파스타42.jpeg,197,256
a bowl of pasta,87,125,79,63,토마토파스타43.jpeg,224,224
a bowl of pasta,13,10,242,165,토마토파스타44.jpeg,275,183
a bowl of pasta,42,50,178,103,토마토파스타45.jpeg,259,194
a bowl of pasta,86,28,187,117,토마토파스타46.jpeg,348,145
a bowl of pasta,32,53,156,147,토마토파스타47.jpeg,223,226
a bowl of pasta,40,54,164,119,토마토파스타48.jpeg,253,199
a bowl of pasta,64,36,194,132,토마토파스타49.jpeg,275,183
a bowl of pasta,27,16,211,178,토마토파스타5.jpeg,259,194
a bowl of pasta,52,84,135,131,토마토파스타50.jpeg,206,244
a bowl of pasta,48,31,179,133,토마토파스타51.jpeg,276,183
a bowl of pasta,7,120,176,139,토마토파스타52.jpeg,183,275
a bowl of pasta,6,3,233,183,토마토파스타53.jpeg,258,195
a bowl of pasta,34,135,128,79,토마토파스타54.jpeg,194,259
a bowl of pasta,0,0,247,185,토마토파스타55.jpeg,259,194
a bowl of pasta,29,75,116,116,토마토파스타56.jpeg,194,259
a bowl of pasta,47,60,158,87,토마토파스타57.jpeg,271,186
a bowl of pasta,26,20,188,176,토마토파스타58.jpeg,225,225
a bowl of pasta,32,15,199,155,토마토파스타59.jpeg,258,196
a bowl of pasta,67,95,126,92,토마토파스타6.jpeg,225,225
a bowl of pasta,31,11,220,174,토마토파스타60.jpeg,270,187
a bowl of pasta,59,24,143,145,토마토파스타61.jpeg,268,188
a bowl of pasta,152,33,145,136,토마토파스타63.jpeg,297,170
a bowl of pasta,35,12,194,150,토마토파스타64.jpeg,275,183
a bowl of pasta,30,22,218,161,토마토파스타65.jpeg,275,183
a bowl of pasta,8,13,267,170,토마토파스타66.jpeg,275,183
a bowl of pasta,32,34,169,142,토마토파스타67.jpeg,270,187
a bowl of pasta,27,30,218,136,토마토파스타69.jpeg,275,183
a bowl of pasta,0,27,193,207,토마토파스타7.jpeg,200,252
a bowl of pasta,19,4,206,184,토마토파스타70.jpeg,225,225
a bowl of pasta,124,43,114,121,토마토파스타71.jpeg,275,183
a bowl of pasta,6,13,232,166,토마토파스타72.jpeg,259,194
a bowl of pasta,23,102,110,70,토마토파스타73.jpeg,225,225
a bowl of pasta,51,22,177,146,토마토파스타74.jpeg,275,183
a bowl of pasta,0,0,218,220,토마토파스타76.jpeg,225,225
a bowl of pasta,0,0,220,172,토마토파스타77.jpeg,275,183
a bowl of pasta,2,33,253,147,토마토파스타79.jpeg,259,194
a bowl of pasta,90,47,129,89,토마토파스타8.jpeg,306,165
a bowl of pasta,123,29,102,170,토마토파스타80.jpeg,225,225
a bowl of pasta,15,64,187,119,토마토파스타82.jpeg,225,225
a bowl of pasta,29,40,224,110,토마토파스타83.jpeg,275,183
a bowl of pasta,31,69,166,95,토마토파스타85.jpeg,225,225
a bowl of pasta,50,20,153,152,토마토파스타86.jpeg,251,201
a bowl of pasta,10,27,231,138,토마토파스타87.jpeg,271,186
a bowl of pasta,26,76,162,82,토마토파스타89.jpeg,225,225
a bowl of pasta,10,55,149,114,토마토파스타9.jpeg,225,225
a bowl of pasta,30,70,174,95,토마토파스타90.jpeg,224,224
a bowl of pasta,24,47,176,115,토마토파스타91.jpeg,276,182
a bowl of pasta,0,15,124,147,토마토파스타93.jpeg,249,203
a bowl of pasta,124,28,130,129,토마토파스타94.jpeg,275,183
a bowl of pasta,24,68,133,89,토마토파스타95.jpeg,225,225
a bowl of pasta,18,0,117,99,토마토파스타97.jpeg,175,288
