label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
hamburger,30,42,153,150,햄버거1.jpeg,224,224
hamburger,51,64,118,117,햄버거10.jpeg,271,186
hamburger,51,22,154,152,햄버거11.jpeg,275,183
hamburger,38,35,179,135,햄버거12.jpeg,264,191
hamburger,2,4,169,173,햄버거13.jpeg,240,210
hamburger,21,35,181,164,햄버거14.jpeg,225,225
hamburger,35,39,151,143,햄버거15.jpeg,225,225
hamburger,6,6,253,170,햄버거16.jpeg,271,186
hamburger,23,12,220,169,햄버거17.jpeg,268,188
hamburger,35,13,201,159,햄버거18.jpeg,272,186
hamburger,20,10,130,129,햄버거19.jpeg,334,151
hamburger,166,6,145,130,햄버거19.jpeg,334,151
hamburger,27,10,205,175,햄버거2.jpeg,255,198
hamburger,26,17,200,175,햄버거20.jpeg,244,206
hamburger,62,74,147,101,햄버거21.jpeg,278,182
hamburger,47,4,217,164,햄버거23.jpeg,300,168
hamburger,118,39,149,150,햄버거24.jpeg,267,189
hamburger,73,60,84,106,햄버거25.jpeg,275,183
hamburger,132,16,112,129,햄버거26.jpeg,275,183
hamburger,43,22,159,159,햄버거27.jpeg,255,198
hamburger,9,9,258,166,햄버거3.jpeg,289,175
hamburger,21,5,197,171,햄버거30.jpeg,283,178
hamburger,46,93,123,129,햄버거31.jpeg,194,259
hamburger,46,45,148,143,햄버거33.jpeg,224,224
hamburger,36,11,190,163,햄버거35.jpeg,259,194
hamburger,84,44,110,88,햄버거36.jpeg,275,183
hamburger,2,22,143,157,햄버거37.jpeg,246,205
hamburger,12,14,183,149,햄버거39.jpeg,291,173
hamburger,23,5,202,182,햄버거4.jpeg,258,195
hamburger,121,2,179,162,햄버거40.jpeg,300,168
hamburger,53,35,159,109,햄버거42.jpeg,284,177
hamburger,19,10,195,181,햄버거44.jpeg,247,204
hamburger,129,42,110,124,햄버거48.jpeg,275,183
hamburger,24,22,179,180,햄버거5.jpeg,225,224
hamburger,8,4,140,99,햄버거50.jpeg,162,311
hamburger,35,19,121,98,햄버거51.jpeg,289,174
hamburger,26,80,120,79,햄버거52.jpeg,224,224
hamburger,82,91,88,86,햄버거53.jpeg,194,259
hamburger,26,1,192,218,햄버거56.jpeg,218,231
hamburger,59,10,156,137,햄버거57.jpeg,277,182
hamburger,24,0,206,203,햄버거58.jpeg,240,210
hamburger,66,6,152,118,햄버거59.jpeg,288,175
hamburger,34,18,190,165,햄버거6.jpeg,259,194
hamburger,63,56,117,83,햄버거60.jpeg,225,225
hamburger,109,56,86,112,햄버거61.jpeg,300,168
hamburger,35,60,60,82,햄버거61.jpeg,300,168
hamburger,73,3,153,147,햄버거62.jpeg,299,168
hamburger,42,23,175,154,햄버거63.jpeg,271,186
hamburger,15,42,70,65,햄버거64.jpeg,339,148
hamburger,175,38,74,70,햄버거64.jpeg,339,148
hamburger,57,21,179,140,햄버거66.jpeg,276,182
hamburger,52,2,164,176,햄버거67.jpeg,266,190
hamburger,24,10,214,169,햄버거69.jpeg,259,195
hamburger,39,16,205,178,햄버거7.jpeg,259,194
hamburger,2,8,139,166,햄버거70.jpeg,275,183
hamburger,36,104,94,99,햄버거71.jpeg,225,225
hamburger,39,89,159,107,햄버거72.jpeg,198,255
hamburger,52,9,185,151,햄버거73.jpeg,294,172
hamburger,126,15,128,121,햄버거74.jpeg,266,190
hamburger,15,125,153,123,햄버거77.jpeg,183,275
hamburger,4,0,218,222,햄버거78.jpeg,225,225
hamburger,26,8,199,217,햄버거8.jpeg,225,225
hamburger,62,35,179,102,햄버거80.jpeg,300,168
hamburger,75,53,63,65,햄버거81.jpeg,207,243
hamburger,84,57,79,78,햄버거83.jpeg,319,158
hamburger,62,51,162,112,햄버거87.jpeg,259,194
hamburger,5,47,123,109,햄버거88.jpeg,259,194
hamburger,132,48,121,109,햄버거88.jpeg,259,194
hamburger,74,9,104,130,햄버거89.jpeg,241,210
hamburger,7,1,215,222,햄버거9.jpeg,222,227
hamburger,65,18,141,129,햄버거90.jpeg,296,170
hamburger,16,14,261,150,햄버거92.jpeg,300,168
hamburger,35,121,161,104,햄버거94.jpeg,224,225
hamburger,120,68,100,115,햄버거95.jpeg,238,212
hamburger,22,50,154,98,햄버거97.jpeg,275,183
hamburger,88,4,189,178,햄버거98.jpeg,277,182
hamburger,142,54,81,90,햄버거99.jpeg,294,172
hamburger,30,64,60,62,햄버거99.jpeg,294,172
